"","","users"
"1",0.0884658454647256,KemmerichThL
"2",0.301020408163265,FDPFraktionTH
"3",0.555702107125623,HGMaassen
"4",0.182612542860303,_FriedrichMerz
"5",0.170818505338078,cdu_fraktion_th
"6",0.0151940385173715,bodoramelow
"7",0.023121387283237,Gruene_TH
"8",0.0158450704225352,SPDThueringen
"9",0.0216763005780347,WTiefensee
"10",0.0527272727272727,cdu_thueringen
"11",0.0876393110435664,MikeMohring
"12",0.0775193798449612,HGCreutzburg
"13",0.420862625878776,Ralf_Hoecker
"14",0.648466847208876,Martin_Sellner
"15",0.769968420241855,Alice_Weidel
"16",1,BjoernHoecke
"17",0.874956339504017,MoellerAfD
"18",0.0209611906667853,polenz_r
"19",0.456224505212268,MitschAlexander
"20",0.111501901140684,PaulZiemiak
"21",0.0938152946092771,jensspahn
"22",0.544018382880942,weberpeterstate
