"","","users"
"1",0.223217618514371,KemmerichThL
"2",0.295918367346939,FDPFraktionTH
"3",0.158886922953193,HGMaassen
"4",0.189248976883088,_FriedrichMerz
"5",0.199288256227758,cdu_fraktion_th
"6",0.570308719636117,bodoramelow
"7",0.32305716120745,Gruene_TH
"8",0.378521126760563,SPDThueringen
"9",0.504335260115607,WTiefensee
"10",0.227272727272727,cdu_thueringen
"11",0.284701114488349,MikeMohring
"12",0.124031007751938,HGCreutzburg
"13",0.164924947748432,Ralf_Hoecker
"14",0.105617192277453,Martin_Sellner
"15",0.0825695139798198,Alice_Weidel
"16",0.0793026286669781,BjoernHoecke
"17",0.134474327628362,MoellerAfD
"18",1,polenz_r
"19",0.19644206073425,MitschAlexander
"20",0.267965779467681,PaulZiemiak
"21",0.183242791475136,jensspahn
"22",0.118339796064915,weberpeterstate
